Date,SPY,AAPL,GOOG,MRK,JNJ,WMT,TGT
12/26/19,0.0053,0.0198,0.0125,-0.0011,-7.00E-04,1e-04,0.0026
12/27/19,-2.00E-04,-4.00E-04,-0.0063,0.0018,-5.00E-04,6e-04,0.0025
12/30/19,-0.0055,0.0059,-0.0117,-0.0051,-0.0031,-0.0016,-0.0025
12/31/19,0.0024,0.0073,7e-04,-9.00E-04,0.0039,-0.0047,-0.0053
1/2/20,0.0094,0.0228,0.0227,0.012,7e-04,8e-04,-0.0167
1/3/20,-0.0076,-0.0097,-0.0049,-0.0086,-0.0116,-0.0088,-0.0104
1/6/20,0.0038,0.008,0.0247,0.0043,-0.0012,-0.002,-0.0095
1/7/20,-0.0028,-0.0047,-6.00E-04,-0.0266,0.0061,-0.0093,0.0018
1/8/20,0.0053,0.0161,0.0079,-0.0067,-1.00E-04,-0.0034,-0.0032
1/9/20,0.0068,0.0212,0.011,0.0088,0.003,0.0103,8e-04
1/10/20,-0.0029,0.0023,0.007,0.0017,-0.0023,-0.0084,0.01
1/13/20,0.0069,0.0214,0.0066,-2.00E-04,0.0044,-0.0043,-0.0069
1/14/20,-0.0015,-0.0135,-0.0058,0.0047,0.0056,0.0026,0.0112
1/15/20,0.0023,-0.0043,0.0058,0.0179,0.0033,-0.0077,-0.0659
1/16/20,0.0083,0.0125,0.0087,-0.0039,0.0081,0.0054,-0.0058
1/17/20,0.0031,0.0111,0.0198,-0.0023,0.0065,-0.0081,0.0052
1/21/20,-0.002,-0.0068,0.0027,-0.011,7e-04,0.0055,-0.0246
1/22/20,1e-04,0.0036,0.001,-0.0036,-0.0068,0.0044,-0.0012
1/23/20,0.0011,0.0048,5e-04,-0.0122,0.0019,-0.0025,0.0143
1/24/20,-0.0089,-0.0029,-0.0134,-0.0291,-0.0014,-0.0124,-0.0105
1/27/20,-0.016,-0.0294,-0.0224,0.0014,0.0029,0.013,0.0128
1/28/20,0.0105,0.0283,0.013,0.0017,0.005,0.0064,-0.0029
1/29/20,-8.00E-04,0.0209,0.0042,0.0115,0.007,-0.0061,-0.0101
1/30/20,0.0032,-0.0014,-0.0019,-0.0085,-0.0012,0.006,0.0035
1/31/20,-0.0182,-0.0443,-0.0148,-0.0123,-0.0099,-0.0179,-0.0343
2/3/20,0.0074,-0.0027,0.0361,0.0222,0.0087,-0.0019,0.016
2/4/20,0.0152,0.033,-0.0262,0.0117,0.0095,0.0088,0.0066
2/5/20,0.0115,0.0082,8e-04,-0.0286,0.0158,0.0134,0.0201
2/6/20,0.0034,0.0117,0.0193,-0.0017,-0.003,-0.0043,-0.0034
2/7/20,-0.0053,-0.0136,0.002,-0.007,-0.0107,0.0012,0.0041
2/10/20,0.0075,0.0047,0.0199,0.0068,-2.00E-04,-0.0103,0.0119
2/11/20,0.0017,-0.006,1e-04,-0.0048,9e-04,0.0013,-0.0025
2/12/20,0.0064,0.0237,0.0063,-0.0235,-0.0059,0.0039,0.0122
2/13/20,-0.0011,-0.0071,-0.0024,-0.0154,-0.0066,0.0137,0.0014
2/14/20,0.0016,2e-04,0.004,0.0083,3e-04,0.0038,-0.0139
2/18/20,-0.0026,-0.0183,-7.00E-04,-0.0023,-0.0066,0.0148,0.016
2/19/20,0.0048,0.0145,0.0046,-0.0056,-0.0013,-0.0163,-0.0037
2/20/20,-0.0041,-0.0103,-0.0056,0.006,-0.0038,1e-04,0.0074
2/21/20,-0.0103,-0.0226,-0.0218,-0.0018,0.0105,0.0076,-0.0106
2/24/20,-0.0332,-0.0475,-0.0428,-0.0123,-0.0206,-0.0191,-0.0276
2/25/20,-0.0303,-0.0339,-0.0233,-0.013,-0.0086,-0.0166,-0.0181
2/26/20,-0.0037,0.0159,0.0034,-0.0041,-0.0067,-0.0053,-0.0095
2/27/20,-0.0449,-0.0654,-0.0539,-0.0233,-0.0317,-0.0297,-0.0455
2/28/20,-0.0042,-6.00E-04,0.0161,-0.0195,-0.0334,-0.0246,-0.0248
3/2/20,0.0433,0.0931,0.0372,0.0628,0.0412,0.0762,0.0588
3/3/20,-0.0286,-0.0318,-0.0344,-0.0275,-0.0316,-0.0256,-0.0295
